Country,Year,GDP
Austria,2005,313952317330.7765
Austria,2006,333905979332.4807
Austria,2007,386760177589.4965
Austria,2008,429234399096.17255
Austria,2009,399290118782.42865
Austria,2010,389827789217.6341
Austria,2011,428954737064.05725
Austria,2012,406750487603.5899
Austria,2013,426580502769.4165
Austria,2014,438556021078.0341
Austria,2015,379546097300.6326
Austria,2016,393687359770.2733
Austria,2017,414926138132.6913
Austria,2018,452582294972.7754
Austria,2019,442983642371.8424
Austria,2020,434397601557.69617
Austria,2021,480467037338.78296
Austria,2022,471773629830.3812
Austria,2023,511685203845.0012
Belgium,2005,385714762230.03876
Belgium,2006,408259840868.82294
Belgium,2007,470922156309.4525
Belgium,2008,517328087920.078
Belgium,2009,485014525992.46063
Belgium,2010,481556503720.0009
Belgium,2011,527196649048.63916
Belgium,2012,498414364944.96106
Belgium,2013,524097026598.5505
Belgium,2014,537987419164.3511
Belgium,2015,461044767544.531
Belgium,2016,474271566739.72876
Belgium,2017,500908767351.5303
Belgium,2018,542638913427.9212
Belgium,2019,536726344405.4893
Belgium,2020,529694473501.7913
Belgium,2021,598494036474.4089
Belgium,2022,593438820508.1735
Belgium,2023,644782756682.7565
Bulgaria,2005,29868657858.008186
Bulgaria,2006,34380536495.67393
Bulgaria,2007,44432811756.47305
Bulgaria,2008,54480684188.44424
Bulgaria,2009,52023801230.120026
Bulgaria,2010,50760929302.51474
Bulgaria,2011,57737040780.015656
Bulgaria,2012,54288135058.79262
Bulgaria,2013,55852123989.95043
Bulgaria,2014,57157782909.93072
Bulgaria,2015,50811995688.67711
Bulgaria,2016,53964253211.83995
Bulgaria,2017,59309748166.11794
Bulgaria,2018,66289266348.650444
Bulgaria,2019,68631726289.27937
Bulgaria,2020,70716821234.59674
Bulgaria,2021,84417951260.8091
Bulgaria,2022,90642851835.89964
Bulgaria,2023,102407653020.6062
Switzerland,2005,418284865884.99835
Switzerland,2006,441634672196.5226
Switzerland,2007,490740715594.80176
Switzerland,2008,567267767519.158
Switzerland,2009,554212916092.2709
Switzerland,2010,598851028906.5803
Switzerland,2011,715888126682.3959
Switzerland,2012,686420221557.9899
Switzerland,2013,706234937370.9675
Switzerland,2014,726537808338.0005
Switzerland,2015,694118186379.6278
Switzerland,2016,687895460902.7133
Switzerland,2017,695200833086.4989
Switzerland,2018,725568717468.0009
Switzerland,2019,721369112726.7239
Switzerland,2020,741999406005.6272
Switzerland,2021,813408787222.4987
Switzerland,2022,818426550206.4498
Switzerland,2023,884940402230.4088
Cyprus,2005,18433412510.88173
Cyprus,2006,20072754986.827248
Cyprus,2007,23968727073.638103
Cyprus,2008,27844646257.506958
Cyprus,2009,26048179949.17415
Cyprus,2010,25799940077.607452
Cyprus,2011,27641547909.70109
Cyprus,2012,25047436974.68195
Cyprus,2013,23959712860.83313
Cyprus,2014,23225918259.98236
Cyprus,2015,19909278416.857502
Cyprus,2016,21046462280.59786
Cyprus,2017,22946570628.7576
Cyprus,2018,25754001367.544785
Cyprus,2019,26196667099.53027
Cyprus,2020,25555093854.29683
Cyprus,2021,30372874319.628525
Cyprus,2022,30976176886.85206
Cyprus,2023,33886930712.33943
Czechia,2005,137264185596.09975
Czechia,2006,156236258386.58853
Czechia,2007,190040702286.91663
Czechia,2008,236506264753.94952
Czechia,2009,206971882704.71594
Czechia,2010,211168667286.26968
Czechia,2011,231429378717.31192
Czechia,2012,210363223087.72824
Czechia,2013,213024360541.11862
Czechia,2014,210911285077.68277
Czechia,2015,189107698561.9188
Czechia,2016,198160659303.93896
Czechia,2017,221563575696.2173
Czechia,2018,251992360762.23602
Czechia,2019,256794209028.76953
Czechia,2020,251109660602.53552
Czechia,2021,290972714482.31274
Czechia,2022,301831228325.55554
Czechia,2023,343207874553.7345
Germany,2005,2893393187361.866
Germany,2006,3046308753670.584
Germany,2007,3484056680854.913
Germany,2008,3808786022312.499
Germany,2009,3479800820863.279
Germany,2010,3468154343000.007
Germany,2011,3824828563521.408
Germany,2012,3597896500945.3135
Germany,2013,3808086291482.364
Germany,2014,3965800686309.79
Germany,2015,3423568450957.0293
Germany,2016,3537784107980.553
Germany,2017,3763092263752.9478
Germany,2018,4052008447223.5264
Germany,2019,3957208055215.6797
Germany,2020,3940142541354.0967
Germany,2021,4348297440387.527
Germany,2022,4163596357879.3936
Germany,2023,4525703903627.531
Denmark,2005,265150087711.98453
Denmark,2006,283386151543.6874
Denmark,2007,320213157595.0181
Denmark,2008,354979471960.142
Denmark,2009,322619152194.5942
Denmark,2010,322345594075.47015
Denmark,2011,344315595263.17456
Denmark,2012,326792574244.9627
Denmark,2013,344631016965.12024
Denmark,2014,352832602064.45154
Denmark,2015,301758922337.6373
Denmark,2016,312181849372.233
Denmark,2017,331610593961.98785
Denmark,2018,355293374912.39276
Denmark,2019,345401473012.6152
Denmark,2020,355631021931.62103
Denmark,2021,408378204639.99896
Denmark,2022,401945576107.9633
Denmark,2023,407091920305.4043
Spain,2005,1154667551775.875
Spain,2006,1261846683275.2922
Spain,2007,1476746276854.5144
Spain,2008,1636115447612.4995
Spain,2009,1496587590847.6553
Spain,2010,1427989078916.6694
Spain,2011,1487568659241.248
Spain,2012,1330994811670.3127
Spain,2013,1362186923157.651
Spain,2014,1380244561361.956
Spain,2015,1206164777553.1243
Spain,2016,1243015667917.1238
Spain,2017,1321754088818.826
Spain,2018,1431642809327.0579
Spain,2019,1403496387686.2722
Spain,2020,1289783836971.2097
Spain,2021,1461244901852.6897
Spain,2022,1446498147749.033
Spain,2023,1620090734956.8914
Estonia,2005,14109491356.796417
Estonia,2006,17025671810.312382
Estonia,2007,22450264166.43854
Estonia,2008,24342935403.544746
Estonia,2009,19633984440.122257
Estonia,2010,19524355419.03797
Estonia,2011,23303915794.756855
Estonia,2012,23237406116.398834
Estonia,2013,25451032780.757328
Estonia,2014,27055689003.003826
Estonia,2015,23311847750.93944
Estonia,2016,24561027787.789555
Estonia,2017,27469461919.11887
Estonia,2018,31222632740.72468
Estonia,2019,31873748770.031322
Estonia,2020,31820771493.897366
Estonia,2021,37204563051.47227
Estonia,2022,38376046174.97097
Estonia,2023,41291245222.19485
Finland,2005,204859368790.66138
Finland,2006,217044068234.11734
Finland,2007,256360251537.6479
Finland,2008,285698662071.0937
Finland,2009,253480783439.45294
Finland,2010,249429613683.3338
Finland,2011,275126915515.56476
Finland,2012,257443384492.9688
Finland,2013,270268036626.27527
Finland,2014,273478528954.901
Finland,2015,233210733506.24988
Finland,2016,238777818792.60757
Finland,2017,253846138440.00043
Finland,2018,273869255596.07825
Finland,2019,267014821129.41135
Finland,2020,270000311606.22644
