Country,Year,HPI,HPIgrowth,Inflation_Rate,GDP,GDP_Growth_Rate,Total_Refugees,Total_Asylum,Totaldisplaced,Displacedgrowth,Population,HPI_Growth,Rugees_Growth,Refugees_per_1000,Housing_Supply
Belgium,2010,91.6,2.2549676267023844,2.18929920422457,481556503720.0009,2.7103114134645807,17891,18288,36179,7.136723029997927,10895586,NA,NA,1.6420410981107394,NA
Belgium,2011,94.88,3.5807860262008746,3.53208210722742,527196649048.63916,1.9311549785905129,22396,19006,41402,14.436551590701788,11038264,3.5807860262008746,25.180258230395168,2.0289422322205737,NA
Belgium,2012,97.11,2.350337268128166,2.83966343445899,498414364944.96106,0.21580367322044935,22023,15023,37046,-10.521230858412638,11106932,2.350337268128166,-1.665475977853188,1.9828157766699213,NA
Belgium,2013,98.55,1.4828544949026852,1.1130959402754,524097026598.5505,0.3054944785623803,25617,11479,37096,0.13496733790422719,11159407,1.4828544949026852,16.319302547336875,2.2955520844431967,NA
Belgium,2014,98.22,-0.3348554033485523,0.340002833356922,537987419164.3511,1.7655403820308777,29170,9943,39113,5.437243907698943,11209057,-0.3348554033485523,13.869695905063045,2.6023598595314485,NA
Belgium,2015,100,1.8122581958867858,0.561429152790065,461044767544.531,1.4741643858801297,35302,35996,71298,82.28721908316928,11274196,1.8122581958867858,21.02159753171066,3.131221064455505,8.8
Belgium,2016,102.33,2.3299999999999983,1.97385264653181,474271566739.72876,1.193502639951106,42158,24098,66256,-7.071727117170187,11331422,2.3299999999999983,19.42099597756501,3.720450972525778,8.9
Belgium,2017,105.95,3.5375745138278165,2.12597086002607,500908767351.5303,1.4744676565309192,42158,18760,60918,-8.056628833615068,11375158,3.5375745138278165,0,3.7061463234181007,8.3
Belgium,2018,109.15,3.0202925908447407,2.05316499865186,542638913427.9212,1.8779685721940211,42158,19550,61708,1.2968252404872123,11427054,3.0202925908447407,0,3.6893148487790466,9.8
Belgium,2019,113.23,3.7379752633989902,1.43681956996429,536726344405.4893,2.442890066486086,61662,10862,72524,17.527711155765864,11488980,3.7379752633989902,46.26405427202429,5.367056083307657,9
Belgium,2020,118.09,4.292148723836439,0.740791812220344,529694473501.7913,-4.792983897262644,64973,29305,94278,29.99558766753075,11538604,4.292148723836439,5.369595536959554,5.630923810194023,8.8
Belgium,2021,125.96,6.664408501989999,2.44024851144084,598494036474.4089,6.202554015860812,74063,28955,103018,9.270455461507456,11586195,6.664408501989999,13.990426792667723,6.3923488254772165,9.8
Belgium,2022,132.93,5.5335026992696195,9.597511728725,593438820508.1735,4.2334318336916965,150713,41810,192523,86.88287483740706,11680210,5.5335026992696195,103.4929721993438,12.903278280099416,8.6
Belgium,2023,136.05,2.3470999774317343,4.04901077613941,644782756682.7565,1.2517006320359485,167831,44600,212431,10.340582683627412,11787423,2.3470999774317343,11.358011584932951,14.238141788921972,7.9
Bulgaria,2010,105.81,-10.170642669156978,2.43899060504113,50760929302.51474,1.5553596346203165,5519,1392,6911,5.511450381679389,7395599,-22.2271223814774,-96.71157295136179,0.7462546306255924,NA
Bulgaria,2011,99.98,-5.509876193176447,4.21990346601873,57737040780.015656,2.0901752701553846,5676,1381,7057,2.11257415714079,7348328,-5.509876193176447,2.8447182460590685,0.7724206105116701,NA
Bulgaria,2012,98.07,-1.910382076415294,2.95456829831022,54288135058.79262,0.7488148967965742,2273,1270,3543,-49.79453025364886,7305888,-1.910382076415294,-59.95419309372798,0.31111892216250786,NA
Bulgaria,2013,95.92,-2.192311614153147,0.890093540913002,55852123989.95043,-0.5427516030301547,4305,4539,8844,149.618966977138,7265115,-2.192311614153147,89.39727232732072,0.5925577227614429,NA
Bulgaria,2014,97.29,1.428273561301089,-1.4181838026484,57157782909.93072,0.9494489850904841,11026,6735,17761,100.8254183627318,7223938,1.428273561301089,156.12078977932637,1.526314317758541,NA
Bulgaria,2015,100,2.785486689279467,-0.104633261008385,50811995688.67711,3.3975532586942165,16543,9488,26031,46.562693542030296,7177991,2.785486689279467,50.03627788862688,2.3046838593138386,2.3
Bulgaria,2016,107.02,7.019999999999996,-0.79864988645371,53964253211.83995,3.026628931389183,17794,16030,33824,29.937382351811305,7127822,7.019999999999996,7.5621108626004965,2.4964147533426058,2.4
Bulgaria,2017,116.3,8.671276396935154,2.06159619443141,59309748166.11794,2.7459264470779345,19166,2712,21878,-35.318117313150424,7075947,8.671276396935154,7.710464201416207,2.7086127128990647,3.2
Bulgaria,2018,123.96,6.586414445399826,2.81454473824829,66289266348.650444,2.5494643471817966,19906,1560,21466,-1.883170308072036,7025037,6.586414445399826,3.861003861003861,2.8335793818594834,4.5
Bulgaria,2019,131.42,6.018070345272664,3.10372944796781,68631726289.27937,3.788850364780032,20438,1054,21492,0.12112177396813567,6975761,6.018070345272664,2.6725610368733044,2.9298595522409667,4.1
Bulgaria,2020,137.41,4.5579059503880766,1.67244096855756,70716821234.59674,-3.215737434450162,21113,1938,23051,7.253861902103107,6934015,4.5579059503880766,3.302671494275369,3.0448448698192894,3.7
Bulgaria,2021,149.33,8.674768939669613,3.29774435299515,84417951260.8091,7.780614814069779,22830,7547,30377,31.781701444622794,6877743,8.674768939669613,8.13243025624023,3.3194028913264133,4.7
Bulgaria,2022,169.92,13.788254202102706,15.3252589264366,90642851835.89964,4.03877758301681,176297,11165,187462,517.1182144385555,6643324,13.788254202102706,672.2163819535699,26.537468291475772,5.6
Bulgaria,2023,186.67,9.857580037664784,9.44284140088564,102407653020.6062,1.886814839071775,97618,11941,109559,-41.55668882226798,6446596,9.857580037664784,-44.62866639818034,15.142565161520903,5.4
Czechia,2010,95.2,-1.7543859649122835,1.47272727272722,211168667286.26968,2.714665115018505,2424,1031,3455,-2.2354272778720996,10474410,-49.00091069802324,-97.5168514003565,0.23142114925804888,NA
Czechia,2011,95.3,0.10504201680671672,1.9172191363555,231429378717.31192,1.77238083691023,2424,909,3333,-3.5311143270622285,10496088,0.10504201680671672,0,0.23094318568975414,NA
Czechia,2012,93.9,-1.4690451206715547,3.28762306610411,210363223087.72824,-0.7706681764955192,2780,566,3346,0.39003900390039004,10510785,-1.4690451206715547,14.686468646864686,0.26449023550572104,NA
