Country_asylum,Year,TotalRefugees,Totalasylum,Totaldisplaced,Displacedgrowth
Armenia,2007,4564,97,4661,-29.293082524271846
Armenia,2008,3952,170,4122,-11.564042051062003
Armenia,2009,3605,38,3643,-11.620572537603104
Armenia,2010,3292,14,3306,-9.25061762283832
Armenia,2011,2913,17,2930,-11.373260738052027
Armenia,2012,2849,378,3227,10.136518771331058
Armenia,2013,13727,70,13797,327.5488069414317
Armenia,2014,17635,57,17692,28.23077480611727
Armenia,2015,19314,51,19365,9.456251413068054
Armenia,2016,17883,73,17956,-7.276013426284534
Armenia,2017,17968,62,18030,0.4121185119180218
Armenia,2018,17966,105,18071,0.2273987798114254
Armenia,2019,17980,158,18138,0.37075978086436834
Armenia,2020,107910,136,108046,495.6886095490131
Armenia,2021,34728,181,34909,-67.69061325731633
Armenia,2022,34634,580,35214,0.8737001919275832
Armenia,2023,150080,615,150695,327.94059181007555
Armenia,2024,148024,813,148837,-1.2329539798931617
Austria,2007,30767,38424,69191,-53.51223150157555
Austria,2008,37546,36687,74233,7.287074908586377
Austria,2009,38895,32133,71028,-4.31748683200194
Austria,2010,42613,25602,68215,-3.9604099791631473
Austria,2011,47055,24464,71519,4.843509492047204
Austria,2012,51707,22418,74125,3.643786965701422
Austria,2013,55575,22731,78306,5.6404721753794265
Austria,2014,60724,22745,83469,6.593364493142288
Austria,2015,72198,80060,152258,82.41263223472187
Austria,2016,93242,76382,169624,11.405640426118826
Austria,2017,115252,56279,171531,1.1242512851954913
Austria,2018,128779,37347,166126,-3.1510339238971383
Austria,2019,135951,26696,162647,-2.094193563921361
Austria,2020,141816,20710,162526,-0.07439424028724785
Austria,2021,152514,27847,180361,10.973628834771052
Austria,2022,258613,53087,311700,72.82006642234185
Austria,2023,257811,38039,295850,-5.085017645171639
Austria,2024,266205,32257,298462,0.8828798377556193
Belarus,2007,643,10,653,-92.14294308747442
Belarus,2008,602,54,656,0.45941807044410415
Belarus,2009,578,84,662,0.9146341463414633
Belarus,2010,587,62,649,-1.9637462235649545
Belarus,2011,594,46,640,-1.386748844375963
Belarus,2012,572,56,628,-1.875
Belarus,2013,599,84,683,8.75796178343949
Belarus,2014,919,254,1173,71.74231332357247
Belarus,2015,1805,273,2078,77.15260017050298
Belarus,2016,1647,228,1875,-9.76900866217517
Belarus,2017,2155,273,2428,29.493333333333332
Belarus,2018,2225,184,2409,-0.7825370675453047
Belarus,2019,2725,131,2856,18.55541718555417
Belarus,2020,2900,143,3043,6.547619047619048
Belarus,2021,2729,114,2843,-6.572461386789352
Belarus,2022,19715,639,20354,615.9338726697151
Belarus,2023,39981,405,40386,98.41800137565097
Belarus,2024,48484,672,49156,21.715445946615162
Belgium,2007,17578,15247,32825,-33.22280087883473
Belgium,2008,17025,14261,31286,-4.688499619192688
Belgium,2009,15536,18233,33769,7.936457201304098
Belgium,2010,17891,18288,36179,7.136723029997927
Belgium,2011,22396,19006,41402,14.436551590701788
Belgium,2012,22023,15023,37046,-10.521230858412638
Belgium,2013,25617,11479,37096,0.13496733790422719
Belgium,2014,29170,9943,39113,5.437243907698943
Belgium,2015,35302,35996,71298,82.28721908316928
Belgium,2016,42158,24098,66256,-7.071727117170187
Belgium,2017,42158,18760,60918,-8.056628833615068
Belgium,2018,42158,19550,61708,1.2968252404872123
Belgium,2019,61662,10862,72524,17.527711155765864
Belgium,2020,64973,29305,94278,29.99558766753075
Belgium,2021,74063,28955,103018,9.270455461507456
Belgium,2022,150713,41810,192523,86.88287483740706
Belgium,2023,167831,44600,212431,10.340582683627412
Belgium,2024,172442,49519,221961,4.486162565727224
Bulgaria,2007,4808,1002,5810,913.9616055846423
Bulgaria,2008,5108,1060,6168,6.161790017211704
Bulgaria,2009,5375,1175,6550,6.19325551232166
Bulgaria,2010,5519,1392,6911,5.511450381679389
Bulgaria,2011,5676,1381,7057,2.11257415714079
Bulgaria,2012,2273,1270,3543,-49.79453025364886
Bulgaria,2013,4305,4539,8844,149.618966977138
Bulgaria,2014,11026,6735,17761,100.8254183627318
Bulgaria,2015,16543,9488,26031,46.562693542030296
Bulgaria,2016,17794,16030,33824,29.937382351811305
Bulgaria,2017,19166,2712,21878,-35.318117313150424
Bulgaria,2018,19906,1560,21466,-1.883170308072036
Bulgaria,2019,20438,1054,21492,0.12112177396813567
Bulgaria,2020,21113,1938,23051,7.253861902103107
Bulgaria,2021,22830,7547,30377,31.781701444622794
Bulgaria,2022,176297,11165,187462,517.1182144385555
