Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","29/03/2025 19:07 UTC"
"Last updated:","8 October 2024"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024"
Origin:,"214,213,211,210,174,207,204,203,201,262,202,186,70,198,200,199,197,187,190,196,195,194,193,192,191,218,188,189,185,184,183,246,178,177,216,69,112,173,179,245,159,172,171,181,180,255,168,169,166,164,165,163,176,170,208,249,261,206,108,175,161,160,158,222,122,102,157,156,155,154,151,150,149,153,148,152,147,146,143,233,120,142,141,139,140,145,62,138,137,144,136,135,131,130,228,133,129,121,66,124,134,119,118,125,132,126,123,127,128,117,114,113,111,107,106,110,109,115,105,100,104,101,99,98,96,97,95,94,93,90,92,91,89,88,86,85,83,205,81,80,75,79,78,232,227,77,253,76,74,73,72,71,68,67,63,59,64,61,60,65,58,182,57,56,55,162,8,54,53,52,51,50,41,103,49,48,254,390,46,84,290,87,45,43,40,42,44,116,82,37,38,36,34,35,33,39,32,47,16,23,30,28,225,27,238,26,29,229,25,22,19,18,31,17,24,15,20,14,21,13,12,11,224,10,9,7,223,6,5,4,3,2,263,278"
"Country of asylum:","70,200,196,184,183,246,173,181,180,164,170,160,158,122,155,154,143,120,138,133,121,132,114,113,111,115,94,90,86,85,205,253,76,74,72,71,64,61,65,57,50,49,48,84,30,238,29,17,24,13,12,10,5,3"
Year,"Country of origin","Country of asylum","Refugees under UNHCR's mandate",Asylum-seekers,"Returned refugees","IDPs of concern to UNHCR","Returned IDPss","Stateless persons","Others of concern","Other people in need of international protection","Host Community"
2007,Afghanistan,Austria,4191,1544,0,0,0,0,0,,0
2007,Afghanistan,Azerbaijan,108,43,6,0,0,0,411,,0
2007,Afghanistan,Belgium,151,0,6,0,0,0,0,,0
2007,Afghanistan,Belarus,454,5,12,0,0,0,0,,0
2007,Afghanistan,Bulgaria,1990,380,0,0,0,0,0,,0
2007,Afghanistan,Cyprus,5,107,0,0,0,0,0,,0
2007,Afghanistan,Czechia,242,16,0,0,0,0,0,,0
2007,Afghanistan,Denmark,5378,58,5,0,0,0,0,,0
2007,Afghanistan,Estonia,6,0,0,0,0,0,0,,0
2007,Afghanistan,Finland,517,44,6,0,0,0,0,,0
2007,Afghanistan,France,1273,0,5,0,0,0,0,,0
2007,Afghanistan,"United Kingdom of Great Britain and Northern Ireland",23565,0,387,0,0,0,0,,0
2007,Afghanistan,Georgia,5,0,0,0,0,0,0,,0
2007,Afghanistan,Germany,24236,2223,46,0,0,0,0,,0
2007,Afghanistan,Greece,174,1061,39,0,0,0,0,,0
2007,Afghanistan,Hungary,2293,19,5,0,0,0,0,,0
2007,Afghanistan,Ireland,106,118,0,0,0,0,0,,0
2007,Afghanistan,Italy,1138,0,0,0,0,0,0,,0
2007,Afghanistan,Lithuania,97,0,0,0,0,0,0,,0
2007,Afghanistan,"Rep. of Moldova",12,0,0,0,0,0,0,,0
2007,Afghanistan,Malta,8,0,0,0,0,0,0,,0
2007,Afghanistan,"Netherlands (Kingdom of the)",17296,0,21,0,0,0,0,,0
2007,Afghanistan,Norway,2925,646,28,0,0,0,0,,0
2007,Afghanistan,Poland,76,5,0,0,0,0,0,,0
2007,Afghanistan,Portugal,6,0,0,0,0,0,0,,0
2007,Afghanistan,Romania,274,0,0,0,0,0,0,,0
2007,Afghanistan,"Russian Federation",1315,2072,49,0,0,0,0,,0
2007,Afghanistan,Spain,69,0,0,0,0,0,0,,0
2007,Afghanistan,Slovakia,87,7,0,0,0,0,0,,0
